TICKER;PRECO;DY;P/L;P/VP;P/ATIVOS;MARGEM BRUTA;MARGEM EBIT;MARG. LIQUIDA;P/EBIT;EV/EBIT;DIVIDA LIQUIDA / EBIT;DIV. LIQ. / PATRI.;PSR;P/CAP. GIRO;P. AT CIR. LIQ.;LIQ. CORRENTE;ROE;ROA;ROIC;PATRIMONIO / ATIVOS;PASSIVOS / ATIVOS;GIRO ATIVOS;CAGR RECEITAS 5 ANOS;CAGR LUCROS 5 ANOS; LIQUIDEZ MEDIA DIARIA; VPA; LPA; PEG Ratio; VALOR DE MERCADO
HAGA3;3,16;;6,42;-0,60;0,63;25,76;18,00;16,55;5,90;2,17;-1,55;;1,06;1,89;-3,67;1,67;-9,36;9,81;-14,77;-1,05;2,05;0,59;9,48;12,37;38.223,52;-5,26;0,49;-0,21;23.720.667,25
HAGA4;1,41;;2,86;-0,27;0,28;25,76;18,00;16,55;2,63;2,17;-1,55;;0,47;0,84;-1,64;1,67;-9,36;9,81;-14,77;-1,05;2,05;0,59;9,48;12,37;37.989,48;-5,26;0,49;-0,09;23.720.667,25
HAPV3;6,26;0,56;269,93;0,91;0,62;27,30;2,10;1,34;172,01;196,81;24,79;0,13;3,61;98,84;-0,69;1,06;0,34;0,23;0,27;0,68;0,32;0,17;26,62;-18,37;420.526.009,83;6,88;0,02;-3,44;44.711.288.258,16
HBOR3;2,88;6,27;4,56;0,29;0,09;27,54;14,45;9,20;2,90;10,49;7,59;0,75;0,42;0,22;-0,21;2,98;6,29;1,89;3,50;0,30;0,57;0,21;1,00;;1.784.922,34;10,03;0,63;0,06;385.491.087,36
HBRE3;5,29;;3,41;0,29;0,14;82,54;305,26;155,43;1,74;3,87;2,13;0,35;5,30;1,90;-0,17;2,23;8,47;4,23;8,10;0,50;0,38;0,03;;;259.203,34;18,30;1,55;-0,01;545.869.709,49
HBSA3;2,89;;-17,88;1,65;0,37;31,18;19,10;-8,95;8,38;22,47;14,09;2,78;1,60;4,29;-0,45;1,92;-9,24;-2,08;3,41;0,23;0,77;0,23;23,22;;12.438.971,03;1,75;-0,16;0,74;2.197.505.838,27
HBTS5;44,89;2,57;2,12;0,86;0,30;67,64;11,56;67,14;12,30;18,27;5,97;0,42;1,42;-41,09;-0,33;0,93;40,59;14,22;3,71;0,35;0,65;0,21;37,96;;9.333,79;52,20;21,19;0,00;410.011.209,43
HETA3;96,00;;-874,28;-0,09;4,74;100,00;90,59;-2,00;19,27;135,00;127,74;;17,45;-0,60;-5,09;0,01;-0,01;-0,54;-1,10;-53,87;54,87;0,27;-0,71;;42.600,00;-1.089,93;-0,11;8,75;18.464.425,99
HETA4;5,99;;-54,55;-0,01;0,30;100,00;90,59;-2,00;1,20;135,00;127,74;;1,09;-0,04;-0,32;0,01;-0,01;-0,54;-1,10;-53,87;54,87;0,27;-0,71;;3.552,95;-1.089,93;-0,11;0,55;18.464.425,99
HGTX3;37,50;;101,99;3,57;2,48;40,58;-0,59;4,10;-707,65;-713,65;-5,99;0,03;4,18;7,50;-5,59;2,47;3,51;2,43;-7,32;0,69;0,31;0,59;-7,54;-26,63;109.503.605,67;10,49;0,37;-1,23;6.095.022.637,50
HOOT3;0,00;;0,00;0,00;0,00;63,38;-61,54;-89,03;0,00;-0,31;0,17;;0,00;0,00;0,00;0,05;-10,62;-11,42;9,22;-1,08;2,14;0,13;-20,33;;;-27,26;-2,90;0,00;17.920.501,38
HOOT4;2,27;;-0,78;-0,08;0,09;63,38;-61,54;-89,03;-1,13;-0,31;0,17;;0,70;-0,06;-0,10;0,05;-10,62;-11,42;9,22;-1,08;2,14;0,13;-20,33;;24.534,61;-27,26;-2,90;0,03;17.920.501,38
HYPE3;38,72;3,19;17,87;2,48;1,20;63,73;33,63;21,93;11,65;14,79;3,14;0,67;3,92;9,63;-1,71;1,72;13,87;6,74;11,58;0,49;0,51;0,31;12,96;3,11;173.258.824,52;15,62;2,17;23,70;24.526.054.266,56
IDVL3;2,16;;-0,99;0,93;0,06;-18,91;-40,19;-154,60;-3,81;-3,84;;;1,53;0,48;-0,13;1,26;-94,38;-5,67;;0,06;0,94;0,04;-32,17;;;2,31;-2,18;0,00;224.007.574,38
IDVL4;2,67;;-1,22;1,16;0,07;-18,91;-40,19;-154,60;-4,71;-3,84;;;1,89;0,59;-0,16;1,26;-94,38;-5,67;;0,06;0,94;0,04;-32,17;;;2,31;-2,18;0,00;224.007.574,38
IFCM3;3,92;;-10,77;0,89;0,38;46,49;-10,89;-18,84;-18,62;-22,83;-4,21;0,20;2,03;-15,92;-0,56;0,93;-8,28;-3,49;-3,64;0,42;0,58;0,19;;;5.680.144,10;4,40;-0,36;0,01;1.104.014.970,24
IGBR3;32,02;;-0,74;-0,04;0,32;100,00;-756,72;-984,57;-0,96;-13,17;-12,21;;7,28;-0,09;-0,38;0,05;-5,19;-42,85;8,02;-8,26;9,26;0,04;-7,98;;199.024,79;-834,46;-43,31;0,02;40.040.881,92
IGSN3;0,00;;0,00;0,00;0,00;31,90;9,68;-17,61;0,00;40,14;40,14;1,39;0,00;0,00;0,00;3,80;-6,30;-1,94;-1,38;0,31;0,69;0,11;16,89;;;8,30;-0,52;0,00;0,00
IGTA3;33,00;;19,38;1,71;0,83;57,71;47,16;32,84;13,50;16,98;3,48;0,44;6,36;3,55;-1,17;5,16;8,84;4,27;4,07;0,48;0,52;0,13;5,10;13,23;70.275.318,31;19,26;1,70;0,64;5.828.182.074,00
IGTI11;18,47;1,85;34,24;2,03;0,96;57,76;42,48;22,04;17,76;16,36;3,84;0,44;7,55;3,95;-1,38;4,63;5,93;2,79;3,19;0,47;0,53;0,13;5,11;56,44;63.417.576,41;9,10;0,54;0,33;4.878.093.784,10
IGTI3;2,43;2,01;13,51;0,80;0,38;57,76;42,48;22,04;7,01;16,36;3,84;0,44;2,98;1,56;-0,55;4,63;5,93;2,79;3,19;0,47;0,53;0,13;5,11;56,44;543.579,86;3,03;0,18;0,13;4.878.093.784,10
IGTI4;0,00;;0,00;0,00;0,00;57,76;42,48;22,04;0,00;16,36;3,84;0,44;0,00;0,00;0,00;4,63;5,93;2,79;3,19;0,47;0,53;0,13;5,11;56,44;;3,03;0,18;0,00;4.878.093.784,10
INEP3;0,87;;0,12;-0,12;0,10;33,66;5.523,07;4.913,34;0,11;0,73;0,62;;6,08;-0,16;-0,11;0,10;-94,97;83,37;-313,35;-0,88;1,88;0,02;-18,75;;1.214.395,41;-7,40;7,03;0,00;154.482.263,40
INEP4;0,87;;0,12;-0,12;0,10;33,66;5.523,07;4.913,34;0,11;0,73;0,62;;6,08;-0,16;-0,11;0,10;-94,97;83,37;-313,35;-0,88;1,88;0,02;-18,75;;368.226,14;-7,40;7,03;0,00;154.482.263,40
INNT3;0,00;;0,00;0,00;0,00;24,09;15,52;11,79;0,00;2,63;2,63;1,77;0,00;0,00;0,00;1,49;51,18;6,20;18,22;0,12;0,88;0,53;38,73;34,45;;1,24;0,64;0,00;0,00
INTB3;25,73;1,33;22,54;4,27;2,51;29,30;10,96;11,48;23,62;22,92;-0,69;-0,13;2,59;5,00;-12,97;2,66;18,93;11,16;14,21;0,59;0,41;0,97;;;41.640.617,07;6,03;1,14;-1,46;8.429.433.860,30
IRBR3;2,83;;-5,49;0,97;0,17;-22,15;-27,94;-8,32;-1,64;-1,64;;;0,46;-1,33;-0,44;0,83;-17,68;-3,12;;0,18;0,82;0,38;13,98;;41.876.142,21;2,91;-0,52;0,10;3.588.129.639,56
ITEC3;40,10;;-35,12;22,04;9,22;-121,18;-18.852,94;-7.435,88;-13,85;-13,21;0,64;-1,02;2.611,73;25,42;-16,70;5,23;-62,76;-26,24;-174,07;0,42;0,58;0,00;-75,29;;;1,82;-1,14;1,36;443.994.658,60
ITSA3;9,33;5,67;6,01;1,26;0,96;35,29;172,39;160,69;5,60;5,84;0,33;0,07;9,66;23,45;-1,08;1,60;20,92;15,96;18,51;0,76;0,20;0,10;11,75;10,80;873.629,07;7,42;1,55;0,09;81.063.232.482,27
ITSA4;9,10;5,82;5,86;1,23;0,94;35,29;172,39;160,69;5,46;5,84;0,33;0,07;9,42;22,88;-1,05;1,60;20,92;15,96;18,51;0,76;0,20;0,10;11,75;10,80;235.226.225,24;7,42;1,55;0,09;81.063.232.482,27
ITUB3;21,16;2,76;7,48;1,36;0,10;61,20;19,70;12,75;4,84;5,25;;;0,95;;-0,10;;18,14;1,34;;0,07;0,92;0,11;2,26;5,09;12.221.335,69;15,59;2,83;0,24;224.949.004.373,97
ITUB4;24,77;2,35;8,76;1,59;0,12;61,20;19,70;12,75;5,67;5,25;;;1,12;;-0,12;;18,14;1,34;;0,07;0,92;0,11;2,26;5,09;866.257.460,52;15,59;2,83;0,28;224.949.004.373,97
JALL3;9,65;3,04;8,74;2,14;0,75;61,97;59,78;24,29;3,55;4,66;1,11;0,67;2,12;2,59;-1,44;2,58;24,51;8,64;23,87;0,35;0,65;0,36;;;7.922.049,76;4,51;1,10;0,19;2.843.826.928,15
JBSS3;34,97;8,58;3,29;1,80;0,41;19,50;9,57;6,44;2,21;4,08;1,86;1,51;0,21;3,55;-0,68;1,41;54,61;12,46;21,44;0,23;0,75;1,94;15,53;151,68;280.949.077,34;19,47;10,63;0,04;77.567.529.458,90
JFEN3;0,85;;-0,42;-0,15;0,08;-639,33;-2.374,82;-2.411,80;-0,42;-3,15;-2,73;;10,06;-0,55;-0,47;0,86;-35,90;-18,20;226,15;-0,51;1,59;0,01;-55,23;;120.799,69;-5,68;-2,04;-0,01;89.423.242,75
JHSF3;6,64;5,18;4,61;0,98;0,53;67,38;53,79;46,94;4,02;5,26;1,24;0,30;2,16;3,77;-0,68;2,57;21,27;11,41;16,42;0,54;0,45;0,24;39,13;;22.322.017,83;6,77;1,44;0,24;4.510.741.512,24
JOPA3;22,60;3,66;7,86;0,44;0,11;20,75;4,81;1,47;2,40;7,40;4,98;0,90;0,12;0,29;-0,38;2,11;5,54;1,37;4,19;0,25;0,67;0,93;11,31;-0,18;8.122,78;51,87;2,87;-1,11;240.921.689,80
JOPA4;36,00;2,53;12,52;0,69;0,17;20,75;4,81;1,47;3,83;7,40;4,98;0,90;0,18;0,46;-0,60;2,11;5,54;1,37;4,19;0,25;0,67;0,93;11,31;-0,18;3.600,00;51,87;2,87;-1,77;240.921.689,80
JSLG3;6,02;6,23;6,54;1,27;0,24;15,48;12,61;5,58;2,89;8,45;5,56;2,44;0,37;1,30;-0,37;2,19;19,45;3,72;10,18;0,19;0,81;0,67;-8,01;;3.146.863,72;4,73;0,92;2,18;1.724.315.089,56
KEPL3;17,97;6,00;6,99;3,27;1,55;31,53;22,30;16,19;5,07;4,76;-0,31;-0,20;1,13;8,84;-4,30;1,38;46,84;22,20;42,27;0,47;0,53;1,37;20,87;;14.021.184,86;5,49;2,57;0,03;1.614.785.368,05
KLBN11;21,88;4,68;6,77;2,85;0,61;48,75;36,29;20,83;3,89;6,71;2,83;2,08;1,41;3,56;-0,85;2,53;42,17;9,04;14,21;0,21;0,75;0,43;18,37;7,92;129.469.233,62;7,67;3,23;0,03;24.583.898.700,26
KLBN3;5,00;4,09;7,73;3,26;0,70;48,75;36,29;20,83;4,44;6,71;2,83;2,08;1,61;4,07;-0,98;2,53;42,17;9,04;14,21;0,21;0,75;0,43;18,37;7,92;499.284,00;1,53;0,65;0,03;24.583.898.700,26
KLBN4;4,23;4,84;6,54;2,76;0,59;48,75;36,29;20,83;3,76;6,71;2,83;2,08;1,36;3,44;-0,83;2,53;42,17;9,04;14,21;0,21;0,75;0,43;18,37;7,92;2.083.703,10;1,53;0,65;0,03;24.583.898.700,26
KRSA3;3,01;;-37,33;1,85;0,54;25,41;10,85;-4,08;14,04;24,65;10,61;1,40;1,52;-131,53;-0,70;0,98;-4,96;-1,43;3,59;0,29;0,69;0,35;;;1.025.037,90;1,62;-0,08;0,12;2.321.898.167,40
LAME3;6,60;;21,15;1,91;0,28;32,90;4,35;2,27;11,03;16,86;5,87;1,01;0,48;1,20;-0,66;1,72;9,02;1,34;2,89;0,15;0,63;0,59;3,50;18,61;19.173.026,13;3,46;0,31;-46,97;12.391.135.396,59
LAME4;6,57;;21,06;1,90;0,28;32,90;4,35;2,27;10,98;16,86;5,87;1,01;0,48;1,19;-0,65;1,72;9,02;1,34;2,89;0,15;0,63;0,59;3,50;18,61;120.311.988,67;3,46;0,31;-46,75;12.391.135.396,59
LAND3;29,05;0,71;187,11;4,02;2,77;90,48;50,80;16,64;61,28;62,36;1,08;0,07;31,13;302,96;-3,06;1,11;2,15;1,48;4,44;0,69;0,31;0,09;;;1.011.434,34;7,23;0,16;-4,20;2.795.393.246,10
LAVV3;4,94;15,89;5,42;0,83;0,55;40,62;27,45;29,39;5,81;2,77;-3,03;-0,43;1,59;0,99;-2,42;3,67;15,32;10,22;11,86;0,67;0,29;0,35;;;5.504.097,41;5,95;0,91;0,07;985.699.698,88
LCAM3;23,68;2,38;9,92;2,37;0,64;41,43;29,33;14,60;4,94;8,33;3,40;1,63;1,45;20,06;-0,81;1,18;23,92;6,45;12,51;0,27;0,73;0,44;53,89;111,18;50.716.976,69;9,98;2,39;0,03;12.046.712.452,48
LEVE3;24,78;16,96;5,64;1,79;1,05;26,54;19,21;15,36;4,51;4,34;-0,17;-0,07;0,87;3,94;-2,38;1,91;31,78;18,61;28,36;0,59;0,42;1,21;11,02;86,99;8.256.730,45;13,82;4,39;0,04;3.179.484.630,00
LHER3;0,00;;0,00;0,00;0,00;63,41;22,35;10,99;0,00;-3,77;-3,77;-0,15;0,00;0,00;0,00;6,36;1,95;0,67;3,94;0,34;0,66;0,06;4,31;-51,59;;141,54;2,76;0,00;0,00
LHER4;0,00;;0,00;0,00;0,00;63,41;22,35;10,99;0,00;-3,77;-3,77;-0,15;0,00;0,00;0,00;6,36;1,95;0,67;3,94;0,34;0,66;0,06;4,31;-51,59;;141,54;2,76;0,00;0,00
LIGT3;7,99;3,18;8,92;0,35;0,11;16,88;8,14;2,26;2,48;8,71;6,23;0,87;0,20;1,44;-0,15;1,33;3,87;1,20;2,98;0,31;0,69;0,53;9,08;;29.580.014,48;23,16;0,90;-0,29;2.976.717.038,76
LINX3;37,40;1,51;-90,95;4,38;2,74;68,70;-4,79;-8,67;-164,48;-159,30;5,18;-0,14;7,88;11,96;-4,82;2,14;-4,81;-3,02;-2,23;0,63;0,37;0,35;14,30;;105.252.650,44;8,55;-0,41;0,13;7.083.895.104,00
LIPR3;68,89;3,10;31,60;3,60;3,04;;;;33,63;30,39;-3,24;-0,35;;14,88;-4,43;2,88;11,40;9,63;10,30;0,84;0,16;0,00;;-6,30;47.169,21;19,13;2,18;3,44;810.483.203,21
LJQQ3;7,72;1,59;31,19;2,71;0,56;37,62;6,82;2,17;9,91;11,08;1,17;0,32;0,68;1,88;-1,63;1,85;8,68;1,81;14,31;0,21;0,79;0,83;;;18.999.414,00;2,85;0,25;-0,73;1.445.880.876,68
LLIS3;1,82;;-0,15;-0,21;0,08;54,02;-69,12;-91,77;-0,19;-2,88;-2,69;;0,13;-2,32;-0,12;0,90;-147,26;-56,31;-56,39;-0,38;1,38;0,61;-4,90;;868.231,14;-8,52;-12,54;0,00;125.308.508,78
LOGG3;20,83;4,16;5,45;0,62;0,41;98,45;258,96;254,72;5,36;8,46;3,11;0,36;13,87;188,73;-0,45;1,03;11,35;7,55;7,89;0,67;0,33;0,03;9,07;61,43;7.756.396,62;33,71;3,83;0,08;2.127.975.177,82
LOGN3;34,27;;20,38;6,71;1,28;23,11;21,17;12,03;11,58;14,37;2,79;1,62;2,45;7,63;-1,98;1,91;32,92;6,29;15,20;0,19;0,81;0,52;11,96;13,73;8.857.719,62;5,11;1,68;0,30;3.648.956.200,57
LPSB3;2,80;2,70;9,69;2,20;0,99;81,65;16,78;19,70;11,38;8,85;-2,53;-0,49;1,91;7,66;-1,48;1,63;22,67;10,19;15,24;0,45;0,56;0,52;8,40;;1.968.977,55;1,27;0,29;0,02;413.152.966,80
LREN3;25,32;1,97;25,76;2,60;1,19;58,98;9,75;8,38;22,14;20,40;-1,74;-0,20;2,16;4,18;-3,46;1,77;10,10;4,62;7,90;0,46;0,54;0,55;10,38;9,24;297.634.834,66;9,73;0,98;7,05;25.049.179.052,40
LTEL3B;86,61;5,68;9,66;6,34;6,34;;;;9,75;9,74;0,00;0,00;;1.728,63;-6,37;16,10;65,66;65,64;64,74;1,00;0,00;0,00;;-6,03;;13,65;8,96;0,07;18.664.056.853,83
LUPA3;4,22;;7,54;0,93;0,25;25,98;-28,74;15,62;-4,10;-8,13;-4,03;0,91;1,18;0,92;-0,46;2,38;12,31;3,26;-13,16;0,26;0,74;0,21;-7,55;-6,87;2.485.870,62;4,54;0,56;-0,12;123.271.095,20
LUXM3;0,00;;0,00;0,00;0,00;31,54;18,64;11,76;0,00;9,53;0,21;0,05;0,00;0,00;0,00;0,96;15,92;10,73;14,72;0,67;0,33;0,91;7,08;12,62;;19,69;3,13;0,00;240.534.000,00
LUXM4;83,00;0,84;26,48;4,22;2,84;31,54;18,64;11,76;16,71;9,53;0,21;0,05;3,11;-417,90;-3,37;0,96;15,92;10,73;14,72;0,67;0,33;0,91;7,08;12,62;96.413,28;19,69;3,13;0,36;240.534.000,00
LVTC3;8,22;2,12;8,73;0,84;0,40;26,73;12,40;5,63;3,96;3,83;-0,13;-0,03;0,49;2,14;-0,87;1,55;9,66;4,64;18,63;0,48;0,52;0,82;;;4.210.896,31;9,75;0,94;-0,54;531.530.377,86
LWSA3;6,62;;-1.374,89;1,33;0,85;45,51;0,75;-0,32;584,77;366,08;-218,69;-0,50;4,40;2,80;-1,61;2,75;-0,10;-0,06;-1,02;0,64;0,36;0,19;23,75;;130.864.738,00;4,98;0,00;11,38;3.907.437.576,16
MAPT3;37,00;;-197,67;-5,67;43,98;;;;-198,83;-136,82;0,00;;;-829,25;-43,98;0,00;-2,87;-22,25;2,85;-7,75;8,75;0,00;;;;-6,52;-0,19;-16,91;23.395.949,80
MAPT4;14,17;;-75,70;-2,17;16,84;;;;-76,14;-136,82;0,00;;;-317,58;-16,84;0,00;-2,87;-22,25;2,85;-7,75;8,75;0,00;;;8.001,00;-6,52;-0,19;-6,48;23.395.949,80
MATD3;8,79;1,02;22,87;2,03;0,75;38,20;22,27;12,89;13,24;14,54;1,30;0,20;2,95;3,44;-1,10;3,18;8,87;3,28;6,16;0,37;0,62;0,25;;;5.173.837,14;4,34;0,38;;3.360.679.126,59
MBLY3;2,99;;-3,74;0,52;0,34;39,19;-11,68;-12,08;-3,87;-3,53;0,34;-0,05;0,45;0,75;-0,92;3,74;-13,84;-9,16;-10,38;0,66;0,34;0,76;;;5.189.361,17;5,78;-0,80;-0,07;318.404.812,96
MDIA3;26,14;7,45;16,79;1,40;0,89;27,94;5,20;6,43;20,73;22,63;1,90;0,13;1,08;3,48;-1,48;2,77;8,36;5,29;3,35;0,63;0,37;0,82;7,96;-7,62;32.819.251,34;18,62;1,56;-0,94;8.861.460.000,00
MDNE3;5,75;;5,47;0,44;0,19;38,65;11,03;14,15;7,02;5,72;-1,30;-0,08;0,77;0,86;-0,31;2,19;8,12;3,41;4,47;0,42;0,58;0,24;0,55;;1.280.834,07;12,93;1,05;-0,02;488.228.906,25
MEAL3;1,82;;-7,93;0,51;0,19;31,85;1,33;-3,26;19,39;30,38;10,99;0,29;0,26;4,51;-0,24;1,24;-6,43;-2,39;1,19;0,37;0,63;0,73;3,75;;4.482.907,38;3,57;-0,23;0,09;521.192.544,60
MEGA3;9,82;;-58,32;1,33;0,43;19,80;14,46;-17,96;72,44;138,91;66,48;1,22;10,48;11,96;-0,51;1,26;-2,28;-0,73;0,62;0,32;0,68;0,04;;;18.984.133,14;7,39;-0,17;;5.593.455.973,76
MELK3;3,59;11,07;8,25;0,63;0,37;25,26;8,46;11,12;10,85;5,76;-5,09;-0,30;0,92;0,69;-2,73;2,67;7,69;4,54;4,31;0,59;0,38;0,41;;;632.717,62;5,66;0,44;0,12;746.609.934,19
MERC3;24,10;;38,27;1,69;1,30;76,40;10,78;23,42;83,18;60,52;;;8,96;9,61;-1,87;1,79;4,42;3,39;;0,77;0,23;0,14;-28,34;77,98;4.610,00;14,24;0,63;1,22;315.801.431,50
MERC4;9,00;5,32;14,29;0,63;0,48;76,40;10,78;23,42;31,06;60,52;;;3,35;3,59;-0,70;1,79;4,42;3,39;;0,77;0,23;0,14;-28,34;77,98;3.344,75;14,24;0,63;0,46;315.801.431,50
MGEL3;19,13;;0,45;-0,65;0,17;15,16;21,89;26,63;0,55;3,68;3,18;;0,12;0,52;-0,42;2,32;-142,94;38,35;29,41;-0,27;1,27;1,44;15,08;172,08;;-29,65;42,38;0,00;100.859.847,09
MGEL4;16,50;;0,39;-0,56;0,15;15,16;21,89;26,63;0,47;3,68;3,18;;0,10;0,45;-0,36;2,32;-142,94;38,35;29,41;-0,27;1,27;1,44;15,08;172,08;29.471,75;-29,65;42,38;0,00;100.859.847,09
MGLU3;3,01;0,51;118,99;1,83;0,60;24,72;0,08;0,48;731,07;908,13;177,06;0,44;0,57;2,33;-1,43;1,80;1,54;0,51;-5,86;0,33;0,67;1,06;29,98;14,55;540.008.083,07;1,65;0,03;-1,64;20.314.269.812,48
MILS3;6,85;4,47;12,40;1,49;0,95;58,38;23,53;16,60;8,75;8,52;-0,24;-0,04;2,06;2,62;-1,78;4,40;12,04;7,63;8,63;0,63;0,36;0,46;13,23;;7.647.105,59;4,59;0,55;0,00;1.686.359.413,60
MLAS3;4,51;2,73;4,92;0,89;0,58;26,24;15,05;17,02;5,56;5,57;0,01;0,00;0,84;0,99;-3,59;3,36;17,99;11,86;12,72;0,66;0,34;0,70;;;9.298.044,83;5,09;0,92;0,30;3.700.631.904,75
MMXM3;14,00;;-2,17;-0,11;0,71;;;;-181,31;-719,57;-538,27;;;-0,10;-0,75;0,01;-4,97;-32,75;0,28;-6,58;7,60;0,00;-6,95;;;-129,88;-6,46;0,03;90.834.562,00
MNDL3;24,40;;-0,10;-0,08;0,05;36,42;13,74;-83,87;0,62;3,85;3,23;;0,09;-0,05;-0,07;0,25;-80,56;-47,52;-19,50;-0,59;1,59;0,57;10,41;;75.382,89;-298,68;-240,61;0,00;60.518.344,00
MNPR3;6,96;;2,50;-0,14;0,18;25,22;17,77;6,02;0,85;0,85;0,01;;0,15;-0,13;-0,35;0,25;-5,72;7,33;-14,63;-1,28;2,28;1,22;10,24;;39.381,57;-48,67;2,78;0,01;49.416.696,00
MOAR3;470,00;9,81;11,55;6,21;2,68;12,17;83.518,26;81.979,61;11,34;11,57;0,23;0,13;9.470,52;9,80;-4,39;3,34;53,79;23,17;26,16;0,43;0,57;0,00;-16,12;18,74;320.196,50;75,64;40,68;0,09;5.758.073.870,00
MODL11;8,44;4,44;15,38;1,53;0,26;69,68;18,43;10,80;9,01;9,01;;;1,66;;-0,36;;9,95;1,71;;0,17;0,83;0,16;;;5.330.076,17;5,52;0,55;0,11;1.981.149.333,33
MODL3;3,27;3,82;17,87;1,78;0,31;69,68;18,43;10,80;10,48;9,01;;;1,93;;-0,42;;9,95;1,71;;0,17;0,83;0,16;;;30.354,10;1,84;0,18;0,13;1.981.149.333,33
MODL4;2,67;4,68;14,59;1,45;0,25;69,68;18,43;10,80;8,55;9,01;;;1,58;;-0,34;;9,95;1,71;;0,17;0,83;0,16;;;80.947,17;1,84;0,18;0,10;1.981.149.333,33
MOSI3;8,24;;32,29;1,56;1,46;89,47;6,23;14,75;76,45;36,94;-39,51;-0,81;4,76;1,91;-8,40;13,23;4,84;4,52;0,25;0,93;0,07;0,31;;;6.097.270,00;5,27;0,26;;1.043.149.227,20
MOVI3;15,92;8,61;5,96;1,78;0,28;44,24;31,95;14,91;2,78;6,75;3,97;2,54;0,89;1,35;-0,43;2,25;29,87;4,62;9,72;0,15;0,85;0,31;23,01;89,42;51.486.056,24;8,95;2,67;0,03;5.767.849.209,12
MRFG3;15,20;21,26;2,52;3,13;0,22;20,37;15,12;4,61;0,77;2,36;1,59;6,46;0,12;2,19;-0,38;1,29;124,16;8,59;28,07;0,07;0,89;1,86;35,31;;139.299.335,52;4,86;6,03;0,21;10.508.822.677,60
MRSA3B;38,70;1,21;18,16;2,66;1,02;33,51;31,56;15,88;9,14;10,24;1,92;0,56;2,88;63,01;-1,22;1,11;14,64;5,62;12,06;0,38;0,62;0,35;6,19;11,65;13.499,00;14,55;2,13;0,85;11.985.611.670,51
MRSA5B;33,00;1,56;15,49;2,27;0,87;33,51;31,56;15,88;7,79;10,24;1,92;0,56;2,46;53,73;-1,04;1,11;14,64;5,62;12,06;0,38;0,62;0,35;6,19;11,65;3.300,00;14,55;2,13;0,73;11.985.611.670,51
MRSA6B;30,97;1,66;14,53;2,13;0,82;33,51;31,56;15,88;7,31;10,24;1,92;0,56;2,31;50,43;-0,98;1,11;14,64;5,62;12,06;0,38;0,62;0,35;6,19;11,65;3.825,50;14,55;2,13;0,68;11.985.611.670,51
MRVE3;8,82;1,84;5,76;0,71;0,20;24,01;15,46;10,28;3,83;8,12;4,29;0,79;0,59;0,67;-0,39;2,71;12,28;3,54;6,39;0,29;0,69;0,34;10,87;5,83;78.054.659,52;12,46;1,53;0,21;4.262.113.198,98
MSPA3;50,01;;-11,18;0,39;0,22;28,70;-14,52;-17,41;-13,41;-16,53;-3,23;0,09;1,95;6,03;-0,24;1,69;-3,48;-1,99;-2,60;0,57;0,43;0,11;-22,81;;12.300,50;128,31;-4,47;0,28;317.596.500,45
MSPA4;46,50;;-10,40;0,36;0,21;28,70;-14,52;-17,41;-12,47;-16,53;-3,23;0,09;1,81;5,61;-0,23;1,69;-3,48;-1,99;-2,60;0,57;0,43;0,11;-22,81;;13.950,00;128,31;-4,47;0,26;317.596.500,45
MSRO3;702,50;;2.025,93;298,08;69,70;56,01;37,52;9,45;510,10;514,73;4,63;2,71;191,37;-467,30;-84,03;0,53;14,71;3,44;12,41;0,23;0,77;0,36;9,20;-6,80;;2,36;0,35;7,27;18.271.898.550,00
MTIG3;0,00;;0,00;0,00;0,00;-11,55;-50,60;-100,53;0,00;-5,30;-4,95;;0,00;0,00;0,00;0,23;-59,91;-43,37;-66,73;-0,72;1,72;0,43;-19,40;;;-256,50;-153,66;0,00;6.435.840,00
MTIG4;40,00;;-0,26;-0,16;0,11;-11,55;-50,60;-100,53;-0,52;-5,30;-4,95;;0,26;-0,12;-0,16;0,23;-59,91;-43,37;-66,73;-0,72;1,72;0,43;-19,40;;6.800,00;-256,50;-153,66;0,00;6.435.840,00
MTRE3;5,12;5,57;12,40;0,55;0,34;34,35;8,98;6,96;9,62;8,38;-1,24;-0,07;0,86;0,60;-1,68;3,37;4,43;2,71;3,83;0,61;0,38;0,39;57,62;150,70;1.979.338,66;9,32;0,41;6,02;541.567.078,40
MTSA3;70,00;2,79;10,27;1,87;1,31;27,19;12,45;9,22;7,60;5,66;-0,22;-0,05;0,95;2,62;-5,93;2,81;18,18;12,78;15,29;0,70;0,30;1,39;21,69;34,85;21.000,00;37,49;6,82;-0,95;475.218.780,00
MTSA4;39,40;5,44;5,78;1,05;0,74;27,19;12,45;9,22;4,28;5,66;-0,22;-0,05;0,53;1,47;-3,34;2,81;18,18;12,78;15,29;0,70;0,30;1,39;21,69;34,85;95.791,10;37,49;6,82;-0,53;475.218.780,00
MULT3;22,65;2,20;23,53;2,10;1,27;79,14;53,45;40,14;17,67;20,47;2,80;0,33;9,44;26,57;-1,49;1,48;8,92;5,38;7,68;0,60;0,40;0,13;3,03;13,14;127.586.962,03;10,79;0,96;-0,77;13.607.233.818,75
